#{"t_start": 1788770421.7760046, "env_id": "Hopper-v2"}
r,l,t
399.139868,151,6854.129679
385.258972,148,6854.336335
356.379984,141,6854.533297
399.302616,151,6854.74548
381.390143,148,6988.198744
496.67837,187,6988.458107
355.447522,139,6988.647301
357.960824,141,6988.844783
499.331318,187,6989.105958
492.213233,184,6989.365771
517.697496,191,6989.635242
357.40991,143,6989.830264
945.88804,291,6990.237957
372.617229,144,6990.44174
1006.716123,352,7124.826368
339.976104,139,7125.01624
617.923105,202,7125.299167
382.788823,147,7125.506713
669.43797,219,7125.811069
994.16476,346,7126.305771
1396.427821,399,7126.862638
1306.599023,394,7127.396503
615.195734,202,7127.673961
1037.197714,302,7128.085403
492.817214,188,7262.8254
400.872341,151,7263.035083
504.190335,191,7263.299908
710.116053,275,7263.678023
471.588985,181,7263.92998
1212.20932,432,7264.517297
373.857516,145,7264.719686
1023.101831,351,7265.21855
685.289256,248,7265.555288
685.755521,253,7265.900046
402.645345,149,7401.85526
355.280977,137,7402.042068
362.602675,140,7402.234956
422.19348,153,7402.450579
361.630627,139,7402.64339
355.178671,137,7402.831755
356.209295,137,7403.022993
396.548568,147,7403.228275
360.497434,139,7403.423861
357.081529,137,7403.627856
397.630128,151,7538.77435
218.256966,97,7538.912494
225.220176,98,7539.059081
229.319296,99,7539.202509
383.493915,133,7539.396476
225.771809,98,7539.537988
157.941284,75,7539.646704
397.166072,151,7539.866901
402.26859,152,7540.082988
157.539776,75,7540.216832
738.851033,257,7675.102395
1575.734375,461,7675.744602
162.985166,77,7675.861053
1027.529496,344,7676.364793
1011.64272,340,7676.852675
382.254165,148,7677.059628
393.320564,151,7677.26466
704.302474,233,7677.591023
1094.476501,351,7678.090503
947.487423,295,7678.496423
333.659602,137,7812.328843
860.540423,306,7812.778332
333.67754,137,7812.981024
1073.328329,362,7813.499476
722.920909,230,7813.815044
412.897087,154,7814.0359
338.669521,138,7814.234078
323.613719,135,7814.423917
321.563343,134,7814.615011
1126.626865,378,7815.137062
752.215403,259,7950.924243
392.484285,150,7951.130697
405.551679,153,7951.344495
325.097566,135,7951.537228
335.908762,138,7951.741828
715.984695,268,7952.101546
674.025694,249,7952.468344
691.542426,221,7952.781697
868.932745,299,7953.200837
731.690524,256,7953.566386
317.870545,134,8089.486956
535.303672,196,8089.763453
312.243571,133,8089.95523
304.805301,130,8090.137045
338.408141,138,8090.331741
1290.459339,434,8090.930306
515.230364,191,8091.197619
705.540468,257,8091.558097
1669.607014,503,8092.240754
1062.559763,359,8092.728193
1176.411969,388,8228.426919
876.387805,338,8228.914246
1231.010799,376,8229.427498
1308.805439,458,8230.061381
988.826526,340,8230.533107
339.962748,137,8230.737491
976.156591,344,8231.241483
1022.48562,344,8231.740232
1151.255707,388,8232.285297
954.26788,332,8232.755917
717.318575,239,8368.947806
985.940467,346,8369.628502
316.92387,133,8369.824255
318.856306,133,8370.014556
1326.440445,389,8370.567596
342.740531,139,8370.765754
316.09031,133,8370.948316
317.6004,133,8371.133779
968.336478,353,8371.612721
321.952051,134,8371.802992
306.49341,127,8505.581721
310.259805,128,8505.764388
228.078446,101,8505.906791
218.638967,100,8506.04673
232.653004,102,8506.19225
559.431722,189,8506.457935
317.462597,130,8506.658808
307.585397,128,8506.84204
603.404521,203,8507.120226
194.957858,90,8507.24728
171.473708,81,8641.001579
175.139335,84,8641.114903
169.819108,81,8641.227901
174.731806,82,8641.344557
174.154041,82,8641.461125
173.030085,82,8641.578239
156.428469,76,8641.686625
174.38101,83,8641.803967
171.558447,82,8641.91822
172.198035,81,8642.035554
775.391196,258,8777.28174
467.63595,167,8777.583605
603.453112,206,8777.869954
761.980651,256,8778.223389
923.060738,310,8778.648637
378.008438,144,8778.854749
561.345355,207,8779.145464
405.82706,151,8779.35997
482.381534,171,8779.600404
574.50908,190,8779.865216
409.303729,154,8915.991051
389.024746,149,8916.194307
526.535474,192,8916.460943
541.921978,195,8916.724545
405.541477,153,8916.934615
386.355437,147,8917.135158
365.255346,142,8917.329894
741.101113,230,8917.643555
525.572224,193,8917.910013
529.253942,193,8918.176136
219.319708,95,9052.307109
590.111351,210,9052.613809
385.567181,147,9052.828855
893.106079,283,9053.236856
220.716662,95,9053.380802
1003.709692,302,9053.832597
1251.680735,377,9054.356813
1646.392995,474,9055.018681
589.065833,210,9055.308095
317.124921,133,9055.497542
832.323267,277,9191.835429
1942.301444,553,9192.588298
489.826424,167,9192.816939
689.537704,215,9193.11547
295.972981,123,9193.28699
698.16384,224,9193.599715
557.558198,186,9193.854092
830.083019,278,9194.243837
337.967643,125,9194.424688
162.991277,77,9194.533139
402.596408,151,9330.169698
406.227779,152,9330.380698
399.139773,150,9330.587976
225.254972,97,9330.725765
216.300569,94,9330.86128
226.005764,97,9330.996427
1070.667881,325,9331.449856
408.45381,153,9331.670913
398.332394,151,9331.893297
405.101101,152,9332.110263
399.597805,151,9465.319345
403.116566,151,9465.528649
416.140566,154,9465.745185
400.533055,151,9465.95629
412.696815,154,9466.168907
519.125062,191,9466.454442
591.069102,211,9466.746813
398.867429,151,9466.953732
1159.3576,371,9467.478576
402.802389,152,9467.692358
583.068028,193,9601.667982
614.953662,209,9601.961768
2337.971894,673,9602.864731
615.736008,208,9603.148006
788.037566,243,9603.481085
838.347926,279,9603.8683
697.434295,232,9604.171017
889.789148,283,9604.545091
851.575432,278,9604.919347
611.042531,206,9605.192998
532.179033,193,9740.22287
775.652073,272,9740.600471
532.771809,193,9740.8655
768.295035,267,9741.237248
522.542466,190,9741.502909
493.55675,185,9741.762403
316.293093,134,9741.945201
753.401708,236,9742.261012
527.494314,193,9742.529067
403.44242,152,9742.739476
41745
671.533139,236,9790.265221
671.525205,236,9790.588635
7248.139453,99,9868.798188
257.057048,103,9868.939778
75.61923,45,9869.007202
255.723416,103,9869.147154
126.321453,67,9869.240826
129.373159,71,9869.3397
75.538341,45,9869.403545
118.091574,64,9869.496039
75.1031,45,9869.560775
77.219568,46,9869.625095
7.798945
454.47512,171,6689.345739
784.060485,262,6689.652533
271.174258,109,6689.77846
962.921059,292,6690.105879
734.277134,247,6690.39056
447.045844,163,6690.574363
171.807308,80,6690.667592
1031.31574,333,6691.04107
579.716001,191,6691.256769
401.526713,156,6691.432449
485.272072,178,6782.298273
384.286732,150,6782.473721
386.557965,156,6782.655725
412.608576,156,6782.839427
461.278936,172,6783.043323
474.563112,176,6783.247761
1044.969418,323,6783.615446
467.131208,174,6783.832173
366.132028,148,6784.013996
675.745496,223,6784.278925
427.900463,163,6875.053374
377.525991,152,6875.229932
397.579976,154,6875.404363
374.812541,154,6875.577582
464.306046,186,6875.791454
403.940922,155,6875.96847
394.53058,153,6876.144492
447.341229,166,6876.349264
369.256535,152,6876.519813
371.807812,149,6876.689039
177.671123,82,6967.891717
718.99247,234,6968.168267
744.231989,230,6968.436637
471.275519,174,6968.634212
398.747021,152,6968.805773
454.432393,168,6968.995093
375.475334,150,6969.171839
370.161707,142,6969.335491
1119.179964,330,6969.713871
431.958605,161,6969.896811
379.039402,149,7061.860192
407.838172,156,7062.035057
373.222572,143,7062.196228
169.069624,79,7062.288624
172.565911,80,7062.379601
385.783289,151,7062.546764
174.448606,81,7062.641057
171.828626,80,7062.734779
174.739605,81,7062.828609
427.375118,162,7063.009512
375.459339,150,7152.650139
1232.825512,363,7153.048919
367.088339,148,7153.216547
180.045555,82,7153.311189
363.658089,147,7153.476315
395.520074,152,7153.64565
169.953686,79,7153.738894
381.825035,150,7153.908675
679.118895,228,7154.162193
378.849246,149,7154.330365
419.844168,159,7259.433712
467.124357,167,7259.633387
300.84749,125,7259.778092
970.878971,303,7260.133072
449.121754,168,7260.332434
294.428572,122,7260.481153
369.395119,149,7260.651477
370.530529,152,7260.831757
424.014045,160,7261.014454
385.233331,152,7261.186028
399.246245,154,7389.090414
371.024351,152,7389.263148
397.851986,153,7389.440697
370.747469,153,7389.613566
440.658784,168,7389.802223
410.967785,156,7389.978045
370.233022,147,7390.15927
402.417284,156,7390.338582
1081.311275,330,7390.707167
443.734448,169,7390.89367
169.026171,79,7482.339959
402.061162,154,7482.512381
642.119074,221,7482.759453
834.196151,260,7483.046802
380.278171,149,7483.21662
600.52055,204,7483.444122
1078.573649,320,7483.802474
540.000846,191,7484.018776
385.35516,150,7484.190333
482.266895,178,7484.39575
420.225114,165,7577.914893
408.912252,163,7578.100604
461.422229,172,7578.294493
438.510894,170,7578.487392
431.587816,166,7578.671977
398.460429,153,7578.843577
419.122475,165,7579.040887
459.964222,172,7579.247509
455.738269,170,7579.440966
424.342477,168,7579.63267
301.581597,124,7666.424505
413.319055,163,7666.564772
393.746487,156,7666.697402
368.949008,147,7666.824995
372.973172,148,7666.950737
297.92896,123,7667.056456
373.563776,149,7667.191305
394.561108,159,7667.346988
399.477994,159,7667.483489
378.222596,150,7667.61873
437.561624,163,7781.222572
372.897592,147,7781.391393
448.625116,170,7781.588184
464.460308,173,7781.787198
434.357184,164,7781.97703
308.880187,126,7782.121575
985.365799,302,7782.460411
1263.939469,395,7782.895356
438.042192,169,7783.08715
417.867745,159,7783.276372
412.579574,162,7872.239603
433.863762,165,7872.425038
636.301965,215,7873.092488
434.120001,167,7873.303879
412.562275,162,7873.492586
443.582168,167,7873.688632
975.528834,299,7874.029024
398.477793,154,7874.204498
383.530441,147,7874.390352
414.517875,163,7874.576141
375.855405,150,7965.381391
299.392929,124,7965.523599
176.816959,82,7965.621107
255.11022,107,7965.745524
179.497273,82,7965.841309
178.561939,82,7965.93702
308.419096,119,7966.073343
407.60664,161,7966.258926
173.522403,80,7966.356692
480.145095,179,7966.573591
160.483485,76,8055.943807
812.080349,268,8056.249155
154.840576,74,8056.338222
438.770839,166,8056.526237
424.454547,165,8056.707777
365.41497,145,8056.877588
152.954256,73,8056.9614
428.791239,161,8057.160354
157.603654,75,8057.2471
406.595181,160,8057.428502
406.226825,154,8147.278315
418.648534,163,8147.461487
430.461993,162,8147.646072
401.898163,153,8147.819093
396.513992,152,8147.99869
657.480218,223,8148.277186
409.040691,155,8148.464992
284.492919,119,8148.605282
367.230518,148,8148.774006
1111.384426,349,8149.179651
473.2402,175,8238.86738
152.032514,73,8238.961271
435.526141,162,8239.154464
465.889523,165,8239.34598
403.30654,153,8239.517888
395.448463,150,8239.688158
454.003974,170,8239.877945
1585.336957,465,8240.38773
707.314075,237,8240.653174
632.349002,209,8240.887243
417.510741,156,8329.454739
152.876512,73,8329.541122
444.837025,165,8329.725244
447.589567,168,8329.917107
468.938051,172,8330.111821
460.599383,171,8330.305803
1217.488578,368,8330.714112
152.689182,73,8330.800574
416.815604,154,8330.974358
421.332595,158,8331.15159
179.486748,82,8421.338022
318.789094,120,8421.47751
410.072568,155,8421.652895
395.567912,152,8421.823904
178.07941,82,8421.919021
175.379567,81,8422.016385
182.799771,84,8422.116784
511.733664,175,8422.312414
181.583493,83,8422.40879
178.42314,82,8422.506552
400.776213,152,8513.486667
477.030046,177,8513.684955
397.049312,153,8513.877054
393.279697,150,8514.063547
650.091211,209,8514.316406
402.947902,154,8514.511391
395.515052,150,8514.683848
401.310128,153,8514.856592
441.293782,167,8515.047045
405.9286,154,8515.527947
152.380431,73,8606.864506
487.414037,171,8607.059146
402.883214,153,8607.236206
397.891985,152,8607.406549
149.459065,72,8607.488981
375.822622,146,8607.662263
548.589597,190,8607.876997
152.882165,73,8607.974477
576.532956,185,8608.182995
584.177787,192,8608.400962
347.453368,151,8698.065713
480.005414,179,8698.273296
317.990607,120,8698.411897
454.001149,161,8698.595325
160.215568,76,8698.683592
339.941776,150,8698.854845
240.699337,102,8698.971568
458.699091,163,8699.158346
483.103306,181,8699.376592
370.277341,150,8699.559904
394.10095,154,8789.655885
373.781498,146,8789.883881
172.478258,80,8789.983191
726.904867,238,8790.24973
182.555444,83,8790.348498
615.514022,201,8790.584598
189.56362,86,8790.687455
384.187072,143,8790.854561
150.753055,73,8790.942916
398.869058,153,8791.122356
386.593088,132,8879.181368
386.894249,149,8879.363804
165.217565,81,8879.466063
441.444082,164,8879.662176
381.607627,131,8879.807874
159.293074,79,8879.896457
394.966948,152,8880.067655
155.576547,78,8880.162379
402.174236,159,8880.382736
663.664904,219,8880.636476
386.803641,153,8967.893115
423.131842,164,8968.035283
449.289241,164,8968.177572
145.90533,71,8968.241133
397.674501,152,8968.421996
434.157668,162,8968.56381
392.33024,155,8968.700096
384.220403,153,8968.833471
394.487525,151,8968.964046
434.594591,166,8969.106185
184.200942,86,9050.39722
456.206224,162,9050.539898
172.791548,80,9050.623069
167.703496,82,9050.698544
355.294622,143,9050.833154
338.710486,139,9050.955582
161.931119,80,9051.025795
416.130737,155,9051.162019
353.884197,142,9051.287409
652.647237,212,9051.468954
393.623783,154,9130.041306
488.551845,175,9130.122443
133.72585,68,9130.157024
161.526394,80,9130.195365
368.323466,148,9130.264444
159.428298,79,9130.304158
157.190446,78,9130.342871
133.129367,68,9130.377327
162.700254,80,9130.418787
493.554472,177,9130.506107
476.610485,171,9203.143118
647.214344,213,9203.241356
473.978088,174,9203.324733
505.798417,176,9203.411049
486.874497,175,9203.499326
416.972178,163,9203.581488
412.873887,155,9203.654511
498.957223,171,9203.735564
427.38737,164,9203.81387
439.489918,170,9203.896585
